Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Frequency Value,Cluster,Assigned Discount,Send New Subscriber Offers
1,55,Male,Blouse,Clothing,53,Winter,3.1,1,1,1,14,Bi-Weekly,4,1,0.1,Yes
2,19,Male,Sweater,Clothing,64,Winter,3.1,1,1,1,2,Bi-Weekly,4,1,0.1,Yes
3,50,Male,Jeans,Clothing,73,Spring,3.1,1,1,1,23,Weekly,5,3,0.12,Yes
4,21,Male,Sandals,Footwear,90,Spring,3.5,1,1,1,49,Weekly,5,0,0.05,No
5,45,Male,Blouse,Clothing,49,Spring,2.7,1,1,1,31,Annually,1,3,0.12,Yes
6,46,Male,Sneakers,Footwear,20,Summer,2.9,1,1,1,14,Weekly,5,0,0.05,No
7,63,Male,Shirt,Clothing,85,Fall,3.2,1,1,1,49,Quarterly,2,3,0.12,Yes
8,27,Male,Shorts,Clothing,34,Winter,3.2,1,1,1,19,Weekly,5,1,0.1,Yes
9,26,Male,Coat,Outerwear,97,Summer,2.6,1,1,1,8,Annually,1,2,0.07,No
10,57,Male,Handbag,Accessories,31,Spring,4.8,1,1,1,4,Quarterly,2,3,0.12,Yes
11,53,Male,Shoes,Footwear,34,Fall,4.1,1,1,1,26,Bi-Weekly,4,0,0.05,No
12,30,Male,Shorts,Clothing,68,Winter,4.9,1,1,1,10,Bi-Weekly,4,1,0.1,Yes
13,61,Male,Coat,Outerwear,72,Winter,4.5,1,1,1,37,Bi-Weekly,4,2,0.07,No
14,65,Male,Dress,Clothing,51,Spring,4.7,1,1,1,31,Weekly,5,3,0.12,Yes
15,64,Male,Coat,Outerwear,53,Winter,4.7,1,1,1,34,Weekly,5,2,0.07,No
16,64,Male,Skirt,Clothing,81,Winter,2.8,1,1,1,8,Monthly,3,1,0.1,Yes
17,25,Male,Sunglasses,Accessories,36,Spring,4.1,1,1,1,44,Bi-Weekly,4,3,0.12,Yes
18,53,Male,Dress,Clothing,38,Winter,4.7,1,1,1,36,Quarterly,2,1,0.1,Yes
19,52,Male,Sweater,Clothing,48,Summer,4.6,1,1,1,17,Weekly,5,4,0.15,No
20,66,Male,Pants,Clothing,90,Summer,3.3,1,1,1,46,Bi-Weekly,4,4,0.15,No
21,21,Male,Pants,Clothing,51,Winter,2.8,1,1,1,50,Quarterly,2,1,0.1,Yes
22,31,Male,Pants,Clothing,62,Winter,4.1,1,1,1,22,Quarterly,2,1,0.1,Yes
23,56,Male,Pants,Clothing,37,Summer,3.2,1,1,1,32,Annually,1,4,0.15,No
24,31,Male,Pants,Clothing,88,Winter,4.4,1,1,1,40,Weekly,5,1,0.1,Yes
25,18,Male,Jacket,Outerwear,22,Fall,2.9,1,1,1,16,Weekly,5,2,0.07,No
26,18,Male,Hoodie,Clothing,25,Summer,3.6,1,1,1,14,Annually,1,4,0.15,No
27,38,Male,Jewelry,Accessories,20,Spring,3.6,1,1,1,13,Annually,1,3,0.12,Yes
28,56,Male,Shorts,Clothing,56,Summer,5.0,1,1,1,7,Quarterly,2,4,0.15,No
29,54,Male,Handbag,Accessories,94,Fall,4.4,1,1,1,41,Quarterly,2,2,0.07,No
30,31,Male,Dress,Clothing,48,Fall,4.1,1,1,1,14,Weekly,5,3,0.12,Yes
31,57,Male,Jewelry,Accessories,31,Winter,4.7,1,1,1,16,Monthly,3,1,0.1,Yes
32,33,Male,Dress,Clothing,79,Winter,4.7,1,1,1,45,Monthly,3,1,0.1,Yes
33,36,Male,Jacket,Outerwear,67,Summer,4.9,1,1,1,37,Annually,1,2,0.07,No
34,54,Male,Pants,Clothing,38,Summer,3.3,1,1,1,45,Quarterly,2,4,0.15,No
35,36,Male,T-shirt,Clothing,91,Spring,4.6,1,1,1,38,Quarterly,2,3,0.12,Yes
36,54,Male,Blouse,Clothing,33,Summer,4.0,1,1,1,48,Bi-Weekly,4,4,0.15,No
37,35,Male,T-shirt,Clothing,69,Winter,4.6,1,1,1,44,Bi-Weekly,4,1,0.1,Yes
38,35,Male,Jeans,Clothing,45,Summer,2.8,1,1,1,10,Weekly,5,4,0.15,No
