Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Frequency Value
1,55,Male,Blouse,Clothing,53,Winter,3.1,1,1,1,14,Bi-Weekly,4
2,19,Male,Sweater,Clothing,64,Winter,3.1,1,1,1,2,Bi-Weekly,4
3,50,Male,Jeans,Clothing,73,Spring,3.1,1,1,1,23,Weekly,5
4,21,Male,Sandals,Footwear,90,Spring,3.5,1,1,1,49,Weekly,5
5,45,Male,Blouse,Clothing,49,Spring,2.7,1,1,1,31,Annually,1
6,46,Male,Sneakers,Footwear,20,Summer,2.9,1,1,1,14,Weekly,5
7,63,Male,Shirt,Clothing,85,Fall,3.2,1,1,1,49,Quarterly,2
8,27,Male,Shorts,Clothing,34,Winter,3.2,1,1,1,19,Weekly,5
9,26,Male,Coat,Outerwear,97,Summer,2.6,1,1,1,8,Annually,1
10,57,Male,Handbag,Accessories,31,Spring,4.8,1,1,1,4,Quarterly,2
11,53,Male,Shoes,Footwear,34,Fall,4.1,1,1,1,26,Bi-Weekly,4
12,30,Male,Shorts,Clothing,68,Winter,4.9,1,1,1,10,Bi-Weekly,4
13,61,Male,Coat,Outerwear,72,Winter,4.5,1,1,1,37,Bi-Weekly,4
14,65,Male,Dress,Clothing,51,Spring,4.7,1,1,1,31,Weekly,5
15,64,Male,Coat,Outerwear,53,Winter,4.7,1,1,1,34,Weekly,5
16,64,Male,Skirt,Clothing,81,Winter,2.8,1,1,1,8,Monthly,3
17,25,Male,Sunglasses,Accessories,36,Spring,4.1,1,1,1,44,Bi-Weekly,4
18,53,Male,Dress,Clothing,38,Winter,4.7,1,1,1,36,Quarterly,2
19,52,Male,Sweater,Clothing,48,Summer,4.6,1,1,1,17,Weekly,5
20,66,Male,Pants,Clothing,90,Summer,3.3,1,1,1,46,Bi-Weekly,4
21,21,Male,Pants,Clothing,51,Winter,2.8,1,1,1,50,Quarterly,2
22,31,Male,Pants,Clothing,62,Winter,4.1,1,1,1,22,Quarterly,2
23,56,Male,Pants,Clothing,37,Summer,3.2,1,1,1,32,Annually,1
24,31,Male,Pants,Clothing,88,Winter,4.4,1,1,1,40,Weekly,5
25,18,Male,Jacket,Outerwear,22,Fall,2.9,1,1,1,16,Weekly,5
26,18,Male,Hoodie,Clothing,25,Summer,3.6,1,1,1,14,Annually,1
27,38,Male,Jewelry,Accessories,20,Spring,3.6,1,1,1,13,Annually,1
28,56,Male,Shorts,Clothing,56,Summer,5,1,1,1,7,Quarterly,2
29,54,Male,Handbag,Accessories,94,Fall,4.4,1,1,1,41,Quarterly,2
30,31,Male,Dress,Clothing,48,Fall,4.1,1,1,1,14,Weekly,5
31,57,Male,Jewelry,Accessories,31,Winter,4.7,1,1,1,16,Monthly,3
32,33,Male,Dress,Clothing,79,Winter,4.7,1,1,1,45,Monthly,3
33,36,Male,Jacket,Outerwear,67,Summer,4.9,1,1,1,37,Annually,1
34,54,Male,Pants,Clothing,38,Summer,3.3,1,1,1,45,Quarterly,2
35,36,Male,T-shirt,Clothing,91,Spring,4.6,1,1,1,38,Quarterly,2
36,54,Male,Blouse,Clothing,33,Summer,4,1,1,1,48,Bi-Weekly,4
